happen,happening
begin,beginning
be,being
market,marketing
kid,kidding
develop,developing
edit,editing
enter,entering
*==t,ting
*ter,tering
*=g,gging
*elop,elopping
*un,unning
*in,inning
*lan,lanning
*!.p,pping
*am,amming
*!.t,tting
*er,erring
*!.r,ring
*!e,ing
*,ing
